address,property_status,sale_amount,sale_date,multi_lot_sale
"33 JARRAD ST, COTTESLOE",Non Strata,1970000,2021-11-30,N
"37 JARRAD ST, COTTESLOE",Non Strata,9300,2006-07-03,Y
"31 JARRAD ST, COTTESLOE",Non Strata,1441000,2021-11-30,N
"573-575 STIRLING HWY, COTTESLOE",Non Strata,3795000,2013-11-26,Y
"573-575 STIRLING HWY, COTTESLOE",Non Strata,3795000,2013-11-26,Y
"8/1-3 BRIXTON ST, COTTESLOE",Strata,500000,2023-05-01,N
"573-575 STIRLING HWY, COTTESLOE",Non Strata,3795000,2013-11-26,Y
"5/589 STIRLING HWY, COTTESLOE",Strata,295000,2022-06-28,N
"597 STIRLING HWY, COTTESLOE",Non Strata,250000,1995-09-19,Y
"595 STIRLING HWY, COTTESLOE",Non Strata,250000,1995-09-19,Y
"24 ROSSER ST, COTTESLOE",Non Strata,425000,1992-03-20,Y
"24 ROSSER ST, COTTESLOE",Non Strata,425000,1992-03-20,Y
"28 ROSSER ST, COTTESLOE",Non Strata,450000,2002-02-23,N
"33 LEXCEN CL, COTTESLOE",Non Strata,1300000,2008-02-11,N
"35 LEXCEN CL, COTTESLOE",Non Strata,1800000,2023-08-08,N
"39 LEXCEN CL, COTTESLOE",Non Strata,389000,2000-04-03,Y
"183 F CURTIN AV, COTTESLOE",Non Strata,389000,2000-04-03,Y
"25 JARRAD ST, COTTESLOE",Non Strata,487500,2000-05-11,N
"27 JARRAD ST, COTTESLOE",Non Strata,1320000,2013-03-16,N
"23 A JARRAD ST, COTTESLOE",Non Strata,992000,2004-10-30,N
"23 B JARRAD ST, COTTESLOE",Non Strata,850000,2004-08-20,N
"21 JARRAD ST, COTTESLOE",Non Strata,365000,1994-02-21,N
"15 A JARRAD ST, COTTESLOE",Non Strata,1720000,2012-11-14,N
"15 JARRAD ST, COTTESLOE",Non Strata,1600000,2019-11-30,N
"12 ROSSER ST, COTTESLOE",Non Strata,2409500,2021-07-27,N
"22 ROSSER ST, COTTESLOE",Non Strata,1570000,2013-12-24,N
"16 ROSSER ST, COTTESLOE",Non Strata,1960000,2010-04-17,N
"14 ROSSER ST, COTTESLOE",Non Strata,2155000,2017-05-09,N
"16 A ROSSER ST, COTTESLOE",Non Strata,1680000,2017-02-01,N
"66 BROOME ST, COTTESLOE",Non Strata,9000000,2023-05-01,N
"2 ROSSER ST, COTTESLOE",Non Strata,1950000,2011-10-14,N
"68 A BROOME ST, COTTESLOE",Strata,4500000,2012-02-14,N
"70 BROOME ST, COTTESLOE",Non Strata,3500000,2017-06-07,N
"70 A BROOME ST, COTTESLOE",Vacant,365000,1989-12-04,N
"1 JARRAD ST, COTTESLOE",Non Strata,3300000,2022-09-12,N
"68 BROOME ST, COTTESLOE",Strata,5350000,2020-09-05,N
"4 ROSSER ST, COTTESLOE",Vacant,740000,1998-06-03,N
"5 JARRAD ST, COTTESLOE",Non Strata,761000,2002-09-23,N
"6 ROSSER ST, COTTESLOE",Non Strata,3000000,2007-09-14,N
"11 JARRAD ST, COTTESLOE",Non Strata,3500000,2013-01-09,N
"13 JARRAD ST, COTTESLOE",Non Strata,397000,1995-09-09,N
"8 ROSSER ST, COTTESLOE",Non Strata,4000000,2022-04-06,N
"9 JARRAD ST, COTTESLOE",Non Strata,490000,1998-09-04,N
"10 ROSSER ST, COTTESLOE",Non Strata,990000,2002-10-19,N
"14 JARRAD ST, COTTESLOE",Non Strata,460000,1995-09-04,N
"10 JARRAD ST, COTTESLOE",Non Strata,650000,1997-11-29,N
"12 JARRAD ST, COTTESLOE",Non Strata,2600000,2018-01-09,N
"8 JARRAD ST, COTTESLOE",Non Strata,390000,1996-12-11,N
"6 JARRAD ST, COTTESLOE",Non Strata,1950000,2009-12-30,N
"3 GRAHAM CT, COTTESLOE",Non Strata,1254000,2002-10-28,N
"76 BROOME ST, COTTESLOE",Non Strata,3480000,2007-06-01,N
"78 BROOME ST, COTTESLOE",Non Strata,4100000,2010-04-18,N
"1 GRAHAM CT, COTTESLOE",Non Strata,460000,1995-10-10,N
"4 JARRAD ST, COTTESLOE",Non Strata,2256000,2013-11-04,N
"72 BROOME ST, COTTESLOE",Non Strata,2425000,2010-05-05,N
"74 BROOME ST, COTTESLOE",Non Strata,1950000,2015-03-05,N
"5 A STANHOPE ST, COTTESLOE",Vacant,1300000,2012-11-23,N
"4 GRAHAM CT, COTTESLOE",Non Strata,6575000,2022-11-03,N
"2 GRAHAM CT, COTTESLOE",Non Strata,5475000,2015-05-01,N
"1 STANHOPE ST, COTTESLOE",Non Strata,3800000,2012-08-14,N
"5 B STANHOPE ST, COTTESLOE",Non Strata,2800000,2013-08-31,N
"7 STANHOPE ST, COTTESLOE",Non Strata,1950000,2010-06-08,N
"94 BROOME ST, COTTESLOE",Non Strata,460000,1990-11-17,N
"55 FORREST ST, COTTESLOE",Non Strata,3200000,2021-11-16,N
"2 STANHOPE ST, COTTESLOE",Non Strata,500000,1997-10-29,N
"57 FORREST ST, COTTESLOE",Vacant,300000,2000-01-31,N
"6 STANHOPE ST, COTTESLOE",Non Strata,1340000,2003-09-13,N
"59 FORREST ST, COTTESLOE",Non Strata,605000,1994-11-26,N
"61 FORREST ST, COTTESLOE",Non Strata,780000,2001-11-24,N
"63 FORREST ST, COTTESLOE",Non Strata,3150000,2017-09-30,N
"65 FORREST ST, COTTESLOE",Non Strata,720000,1997-05-21,N
"8 STANHOPE ST, COTTESLOE",Non Strata,2475000,2015-03-27,N
"2/58 FORREST ST, COTTESLOE",Strata,1600000,2021-03-16,N
"58 FORREST ST, COTTESLOE",Non Strata,2350000,2005-02-04,N
"52 FORREST ST, COTTESLOE",Non Strata,4250000,2018-04-19,Y
"52 A FORREST ST, COTTESLOE",Non Strata,4250000,2018-04-19,Y
"41 JOHN ST, COTTESLOE",Non Strata,18000,2005-06-27,N
"49 JOHN ST, COTTESLOE",Non Strata,3250000,2022-06-14,N
"51 JOHN ST, COTTESLOE",Non Strata,2195000,2004-07-01,Y
"42 JOHN ST, COTTESLOE",Non Strata,2700000,2000-11-13,N
"44 JOHN ST, COTTESLOE",Non Strata,500000,2000-11-13,N
"48 JOHN ST, COTTESLOE",Non Strata,3500000,2013-09-24,N
"9 LOMA ST, COTTESLOE",Non Strata,2020000,2005-12-03,N
"7 LOMA ST, COTTESLOE",Non Strata,4500000,2021-12-23,N
"5 LOMA ST, COTTESLOE",Non Strata,3600000,2011-02-01,N
"3 LOMA ST, COTTESLOE",Non Strata,4100000,2022-01-16,N
"1 LOMA ST, COTTESLOE",Non Strata,985000,2001-12-01,N
"4/108 BROOME ST, COTTESLOE",Strata,700000,2022-04-06,N
"104 BROOME ST, COTTESLOE",Strata,3475000,2017-06-15,N
"40 JOHN ST, COTTESLOE",Non Strata,3300000,2005-09-05,Y
"40 JOHN ST, COTTESLOE",Non Strata,3300000,2005-09-05,Y
"30 JOHN ST, COTTESLOE",Non Strata,570000,1995-02-23,N
"32 A JOHN ST, COTTESLOE",Non Strata,1550000,2003-05-17,Y
"34 JOHN ST, COTTESLOE",Non Strata,3070000,2016-07-01,N
"32 JOHN ST, COTTESLOE",Non Strata,1550000,2003-05-17,Y
"38 JOHN ST, COTTESLOE",Non Strata,2200,1992-01-09,Y
"99 A BROOME ST, COTTESLOE",Non Strata,2200,1992-01-09,Y
"99 B BROOME ST, COTTESLOE",Non Strata,2200,1992-01-09,Y
"101 BROOME ST, COTTESLOE",Non Strata,715000,2001-04-25,N
"36 JOHN ST, COTTESLOE",Non Strata,2150000,2005-10-16,N
"3/1 DE BERNALES WALK, COTTESLOE",Strata,835000,2023-02-27,N
"3 DE BERNALES WALK, COTTESLOE",Strata,2050000,2021-08-11,N
"19 JOHN ST, COTTESLOE",Non Strata,3650000,2015-11-06,N
"17 A JOHN ST, COTTESLOE",Vacant,1200000,2005-09-17,N
"29 JOHN ST, COTTESLOE",Non Strata,3100000,2013-07-04,N
"21 JOHN ST, COTTESLOE",Non Strata,1400000,2003-01-22,N
"2/33 JOHN ST, COTTESLOE",Strata,432000,1998-01-15,N
"35 JOHN ST, COTTESLOE",Non Strata,2738000,2018-04-07,N
"35 A JOHN ST, COTTESLOE",Non Strata,2750000,2018-11-01,N
"99 BROOME ST, COTTESLOE",Non Strata,37500,2002-05-10,N
"39 JOHN ST, COTTESLOE",Non Strata,6000000,2022-10-21,N
"97 BROOME ST, COTTESLOE",Non Strata,1025000,1999-01-21,N
"1/36 FORREST ST, COTTESLOE",Strata,2200000,2021-01-22,N
"38 FORREST ST, COTTESLOE",Non Strata,2700000,2017-11-18,N
"91 BROOME ST, COTTESLOE",Strata,1182500,2012-05-17,N
"40 FORREST ST, COTTESLOE",Non Strata,1400000,2003-03-08,N
"32 FORREST ST, COTTESLOE",Non Strata,4730000,2023-05-18,N
"28 FORREST ST, COTTESLOE",Non Strata,4500000,2022-11-09,N
"20 FORREST ST, COTTESLOE",Non Strata,3420000,2022-07-02,N
"2/18 FORREST ST, COTTESLOE",Strata,1350000,2006-11-17,N
"14 A FORREST ST, COTTESLOE",Non Strata,2750000,2017-02-11,N
"14 FORREST ST, COTTESLOE",Vacant,700000,2001-04-10,N
"17 JOHN ST, COTTESLOE",Non Strata,2700000,2020-06-26,N
"15 JOHN ST, COTTESLOE",Non Strata,850000,1994-03-02,N
"13 JOHN ST, COTTESLOE",Non Strata,5000000,2023-06-14,N
"17 WARNHAM RD, COTTESLOE",Non Strata,185000,1997-03-19,N
"16 JOHN ST, COTTESLOE",Non Strata,1700000,2021-03-31,N
"11 WARNHAM RD, COTTESLOE",Non Strata,1900000,2018-05-19,N
"4/12 JOHN ST, COTTESLOE",Strata,1700000,2023-03-29,N
"12 WARNHAM RD, COTTESLOE",Non Strata,2350000,2017-11-26,N
"4/15 OVERTON GDNS, COTTESLOE",Strata,2750000,2023-05-02,N
"9 NAPIER ST, COTTESLOE",Non Strata,3800000,2018-11-03,N
"2/14 WARNHAM RD, COTTESLOE",Strata,1450000,2022-10-09,N
"6/20 OVERTON GDNS, COTTESLOE",Strata,775000,2023-07-08,N
"20 WARNHAM RD, COTTESLOE",Non Strata,420000,1993-03-23,Y
"18 A WARNHAM RD, COTTESLOE",Strata,1300000,2019-07-04,N
"112 BROOME ST, COTTESLOE",Non Strata,2450000,2006-06-02,N
"116 A BROOME ST, COTTESLOE",Non Strata,9150000,2022-01-10,Y
"116 BROOME ST, COTTESLOE",Non Strata,9150000,2022-01-10,Y
"114 BROOME ST, COTTESLOE",Non Strata,1890000,2013-09-25,N
"3/118 BROOME ST, COTTESLOE",Strata,605000,2022-07-15,N
"27 A NAPIER ST, COTTESLOE",Non Strata,825000,2002-03-18,N
"29 NAPIER ST, COTTESLOE",Non Strata,2060000,2009-11-08,N
"6 LOMA ST, COTTESLOE",Non Strata,1500000,2002-03-18,Y
"31 NAPIER ST, COTTESLOE",Non Strata,3650000,2021-08-18,N
"8 LOMA ST, COTTESLOE",Non Strata,1500000,2002-03-18,Y
"33 NAPIER ST, COTTESLOE",Non Strata,1825000,2006-09-02,N
"10 LOMA ST, COTTESLOE",Non Strata,1300000,2005-03-06,N
"120 BROOME ST, COTTESLOE",Non Strata,1600000,2004-07-08,N
"28 NAPIER ST, COTTESLOE",Non Strata,2700000,2013-01-21,N
"122 BROOME ST, COTTESLOE",Non Strata,482000,1997-02-15,N
"124 BROOME ST, COTTESLOE",Non Strata,5000005,2021-11-04,N
"1 A NAILSWORTH ST, COTTESLOE",Non Strata,2220000,2019-06-23,N
"34 NAPIER ST, COTTESLOE",Non Strata,3600000,2021-03-19,N
"46 NAPIER ST, COTTESLOE",Non Strata,2374000,2017-10-12,N
"44 NAPIER ST, COTTESLOE",Non Strata,3780000,2022-02-04,N
"36 NAPIER ST, COTTESLOE",Non Strata,215000,1990-11-21,N
"40 NAPIER ST, COTTESLOE",Non Strata,490000,1993-08-26,N
"58 B NAPIER ST, COTTESLOE",Strata,1380000,2018-04-10,N
"50 NAPIER ST, COTTESLOE",Non Strata,2160000,2009-11-07,N
"54 NAPIER ST, COTTESLOE",Non Strata,2100000,2007-01-12,N
"56 B NAPIER ST, COTTESLOE",Strata,1500000,2018-01-20,N
"60 NAPIER ST, COTTESLOE",Non Strata,1850000,2019-10-30,N
"64 NAPIER ST, COTTESLOE",Non Strata,2400000,2023-05-22,N
"72 NAPIER ST, COTTESLOE",Non Strata,2495000,2010-01-31,N
"70 NAPIER ST, COTTESLOE",Non Strata,3100000,2021-07-28,N
"68 NAPIER ST, COTTESLOE",Non Strata,2100000,2013-09-19,N
"74 NAPIER ST, COTTESLOE",Non Strata,1950000,2013-10-15,N
"221 A CURTIN AV, COTTESLOE",Non Strata,975000,2005-12-12,Y
"76 NAPIER ST, COTTESLOE",Non Strata,975000,2005-12-12,Y
"69 NAPIER ST, COTTESLOE",Non Strata,1975000,2017-12-12,N
"73 NAPIER ST, COTTESLOE",Non Strata,500000,2003-05-23,N
"71 NAPIER ST, COTTESLOE",Non Strata,500000,2001-04-17,N
"10 D BIRD ST, COTTESLOE",Strata,915000,2016-09-08,N
"217 CURTIN AV, COTTESLOE",Non Strata,1037500,2019-06-05,N
"8 BIRD ST, COTTESLOE",Non Strata,1685000,2014-08-21,N
"6 A BIRD ST, COTTESLOE",Non Strata,3300000,2023-08-03,N
"215 CURTIN AV, COTTESLOE",Non Strata,1050000,2018-11-02,N
"6 BIRD ST, COTTESLOE",Vacant,825000,2016-08-15,N
"238 MARMION ST, COTTESLOE",Non Strata,426000,2002-05-11,N
"30 LOMA ST, COTTESLOE",Non Strata,3650000,2019-05-11,N
"32 LOMA ST, COTTESLOE",Vacant,450000,2001-05-20,N
"247 MARMION ST, COTTESLOE",Non Strata,1430000,2016-06-08,N
"249 MARMION ST, COTTESLOE",Non Strata,2975000,2008-05-09,N
"251 MARMION ST, COTTESLOE",Non Strata,2000000,2012-07-03,N
"28 LOMA ST, COTTESLOE",Non Strata,4350000,2012-05-02,N
"53 NAPIER ST, COTTESLOE",Non Strata,290000,1993-09-03,N
"12 LOMA ST, COTTESLOE",Non Strata,4700000,2023-03-01,N
"37 NAPIER ST, COTTESLOE",Non Strata,566500,1998-12-14,N
"39 NAPIER ST, COTTESLOE",Non Strata,2800000,2020-12-23,N
"41 NAPIER ST, COTTESLOE",Non Strata,3272500,2021-07-28,N
"16 LOMA ST, COTTESLOE",Non Strata,2525000,2014-05-24,N
"45 NAPIER ST, COTTESLOE",Non Strata,1070000,2002-04-07,N
"20 LOMA ST, COTTESLOE",Non Strata,710000,1999-10-06,N
"24 LOMA ST, COTTESLOE",Non Strata,1000000,2011-08-21,N
"22 LOMA ST, COTTESLOE",Non Strata,2450000,2018-02-06,N
"47 NAPIER ST, COTTESLOE",Non Strata,2412500,2017-03-19,N
"26 LOMA ST, COTTESLOE",Non Strata,750000,2000-12-21,N
"11 LOMA ST, COTTESLOE",Non Strata,2500000,2019-09-07,N
"15 LOMA ST, COTTESLOE",Non Strata,387000,1989-03-28,N
"11 A LOMA ST, COTTESLOE",Non Strata,285000,1991-07-24,N
"17 LOMA ST, COTTESLOE",Non Strata,635000,1997-11-17,N
"19 LOMA ST, COTTESLOE",Non Strata,725000,1999-02-23,N
"21 LOMA ST, COTTESLOE",Non Strata,1350000,2005-08-10,N
"23 LOMA ST, COTTESLOE",Strata,13000,2018-05-27,N
"31 LOMA ST, COTTESLOE",Non Strata,2575000,2020-05-06,N
"29 LOMA ST, COTTESLOE",Non Strata,2950000,2012-01-17,N
"235 MARMION ST, COTTESLOE",Non Strata,1465000,2006-02-05,N
"233 MARMION ST, COTTESLOE",Non Strata,1700000,2016-01-15,N
"231 MARMION ST, COTTESLOE",Strata,520000,2002-05-14,N
"225 MARMION ST, COTTESLOE",Strata,1342500,2019-09-12,N
"223 MARMION ST, COTTESLOE",Strata,1410000,2013-11-23,N
"68 JOHN ST, COTTESLOE",Strata,420000,1999-01-25,N
"64 JOHN ST, COTTESLOE",Non Strata,3850000,2019-07-02,N
"62 JOHN ST, COTTESLOE",Non Strata,410000,1994-12-03,N
"58 JOHN ST, COTTESLOE",Non Strata,2850000,2020-06-03,N
"50 JOHN ST, COTTESLOE",Non Strata,540000,1993-09-21,N
"51 JOHN ST, COTTESLOE",Non Strata,2195000,2004-07-01,Y
"53 JOHN ST, COTTESLOE",Non Strata,4600000,2022-02-28,Y
"53 JOHN ST, COTTESLOE",Non Strata,4600000,2022-02-28,Y
"55 JOHN ST, COTTESLOE",Non Strata,2200000,2016-01-25,N
"57 JOHN ST, COTTESLOE",Non Strata,1750000,2005-03-03,N
"59 JOHN ST, COTTESLOE",Non Strata,2870000,2013-03-11,N
"62 FORREST ST, COTTESLOE",Non Strata,1360000,1998-10-13,Y
"62 FORREST ST, COTTESLOE",Non Strata,1360000,1998-10-13,Y
"66 FORREST ST, COTTESLOE",Non Strata,1900000,2005-06-11,N
"68 FORREST ST, COTTESLOE",Non Strata,940000,1999-03-23,N
"70 FORREST ST, COTTESLOE",Non Strata,3550000,2017-08-05,N
"72 FORREST ST, COTTESLOE",Non Strata,2120000,2003-10-07,N
"74 FORREST ST, COTTESLOE",Non Strata,1750000,2013-11-14,N
"76 FORREST ST, COTTESLOE",Non Strata,810000,2000-09-29,N
"78 FORREST ST, COTTESLOE",Non Strata,1530000,2012-04-12,N
"80 FORREST ST, COTTESLOE",Non Strata,3650000,2022-10-25,N
"82 FORREST ST, COTTESLOE",Non Strata,2150000,2023-05-19,N
"71 JOHN ST, COTTESLOE",Non Strata,295000,1992-12-02,N
"65 JOHN ST, COTTESLOE",Strata,1700000,2020-10-19,N
"217 MARMION ST, COTTESLOE",Non Strata,3227000,2019-10-22,N
"73 JOHN ST, COTTESLOE",Non Strata,2375000,2020-09-04,N
"220 MARMION ST, COTTESLOE",Non Strata,1951000,2017-07-31,N
"209 CURTIN AV, COTTESLOE",Non Strata,485000,1999-05-14,N
"224 MARMION ST, COTTESLOE",Non Strata,1725000,2008-06-28,N
"226 MARMION ST, COTTESLOE",Non Strata,2400000,2011-08-06,Y
"226 MARMION ST, COTTESLOE",Non Strata,2400000,2011-08-06,Y
"232 MARMION ST, COTTESLOE",Non Strata,520000,1998-12-14,N
"230 MARMION ST, COTTESLOE",Non Strata,2225000,2017-10-26,N
"232 MARMION ST, COTTESLOE",Non Strata,360000,1997-01-04,N
"228 MARMION ST, COTTESLOE",Non Strata,2000000,2014-11-14,N
"4 A BIRD ST, COTTESLOE",Vacant,1040000,2023-05-30,N
"4 B BIRD ST, COTTESLOE",Vacant,1290000,2023-05-29,N
"2 BIRD ST, COTTESLOE",Non Strata,1775000,2020-03-24,N
"2 A BIRD ST, COTTESLOE",Vacant,1900000,2019-03-05,N
"9 A BURT ST, COTTESLOE",Non Strata,2651100,2023-06-26,Y
"7 BURT ST, COTTESLOE",Non Strata,1150000,2017-03-04,N
"3/3 BURT ST, COTTESLOE",Strata,830000,2019-05-15,N
"9 BURT ST, COTTESLOE",Non Strata,2651100,2023-06-26,Y
"14 A ALBION ST, COTTESLOE",Strata,277000,1999-04-08,N
"12 ALBION ST, COTTESLOE",Non Strata,235000,1988-12-04,N
"10 ALBION ST, COTTESLOE",Non Strata,1250000,2009-03-09,N
"14 A RAILWAY ST, COTTESLOE",Non Strata,1700000,2022-07-21,Y
"12 RAILWAY ST, COTTESLOE",Non Strata,1200000,2020-11-16,N
"14 RAILWAY ST, COTTESLOE",Non Strata,1700000,2022-07-21,Y
"10 RAILWAY ST, COTTESLOE",Non Strata,1525000,2017-10-16,N
"6 RAILWAY ST, COTTESLOE",Non Strata,978000,2016-11-18,Y
"8 RAILWAY ST, COTTESLOE",Non Strata,1010000,2017-01-27,N
"36 VERA ST, COTTESLOE",Non Strata,1775000,2021-09-16,N
"34 VERA ST, COTTESLOE",Non Strata,1575000,2017-02-13,N
"4 RAILWAY ST, COTTESLOE",Non Strata,1050000,2018-02-26,N
"1/92 FORREST ST, COTTESLOE",Strata,847000,2021-04-07,Y
"3/92 FORREST ST, COTTESLOE",Strata,847000,2021-04-07,Y
"2/92 FORREST ST, COTTESLOE",Strata,308000,2021-04-07,N
"94 FORREST ST, COTTESLOE",Vacant,110000,1993-03-11,N
"23 VERA ST, COTTESLOE",Non Strata,755000,2021-11-16,N
"23 VERA ST, COTTESLOE",Vacant,110000,1993-03-11,N
"11/86 FORREST ST, COTTESLOE",Strata,270000,2020-11-25,N
"98 FORREST ST, COTTESLOE",Non Strata,2355000,2017-05-18,N
"100 FORREST ST, COTTESLOE",Vacant,695000,2002-06-26,N
"100 FORREST ST, COTTESLOE",Non Strata,580000,1999-02-05,N
"17 VERA ST, COTTESLOE",Strata,1420000,2015-02-14,N
"102 FORREST ST, COTTESLOE",Non Strata,2266000,2016-04-06,N
"9 VERA ST, COTTESLOE",Strata,1400000,2019-06-16,N
"108 FORREST ST, COTTESLOE",Strata,2145000,2019-06-06,N
"112 FORREST ST, COTTESLOE",Non Strata,2400000,2019-03-01,N
"3/1 ALBION ST, COTTESLOE",Strata,810000,2010-05-10,N
"5 ALBION ST, COTTESLOE",Non Strata,2650000,2021-02-19,N
"26 VERA ST, COTTESLOE",Vacant,950000,2022-08-27,N
"22 VERA ST, COTTESLOE",Strata,1320000,2017-09-19,N
"9 ALBION ST, COTTESLOE",Strata,1575000,2021-09-28,N
"13 ALBION ST, COTTESLOE",Strata,250000,1995-01-14,N
"18 VERA ST, COTTESLOE",Strata,1300000,2017-06-21,N
"16 VERA ST, COTTESLOE",Strata,1685000,2021-05-05,N
"21 ALBION ST, COTTESLOE",Strata,1450000,2016-01-31,N
"23 ALBION ST, COTTESLOE",Strata,1510000,2020-02-20,N
"12 VERA ST, COTTESLOE",Vacant,385000,2002-03-05,N
"27 ALBION ST, COTTESLOE",Strata,465000,2003-04-05,N
"1/519 STIRLING HWY, COTTESLOE",Strata,200000,1997-12-09,N
"2/120 FORREST ST, COTTESLOE",Strata,520000,2023-06-28,N
"114 FORREST ST, COTTESLOE",Non Strata,2550000,2019-03-14,N
"114 FORREST ST, COTTESLOE",Non Strata,1510000,2006-03-11,N
"515 STIRLING HWY, COTTESLOE",Non Strata,1562000,2006-09-05,N
"37 ALBION ST, COTTESLOE",Strata,160000,1993-11-23,N
"39 ALBION ST, COTTESLOE",Strata,1080000,2021-05-14,N
"35 ALBION ST, COTTESLOE",Non Strata,1325000,2020-10-27,N
"33 ALBION ST, COTTESLOE",Non Strata,1250000,2022-04-28,N
"31 ALBION ST, COTTESLOE",Non Strata,950000,2012-02-07,N
"8 VERA ST, COTTESLOE",Strata,1250000,2020-11-10,N
"6 VERA ST, COTTESLOE",Non Strata,1180000,2016-05-10,N
"26 A ALBION ST, COTTESLOE",Non Strata,205000,1994-12-21,Y
"28 ALBION ST, COTTESLOE",Non Strata,530000,2000-03-03,N
"24 A ALBION ST, COTTESLOE",Non Strata,780000,2016-05-18,Y
"24 ALBION ST, COTTESLOE",Non Strata,330500,2000-02-03,Y
"18 ALBION ST, COTTESLOE",Non Strata,710000,2004-02-27,N
"16 ALBION ST, COTTESLOE",Non Strata,2585000,2019-06-20,N
"11 BURT ST, COTTESLOE",Non Strata,590000,2004-07-14,N
"2/15 BURT ST, COTTESLOE",Strata,865000,2023-03-16,N
"17 BURT ST, COTTESLOE",Strata,1515000,2021-10-16,N
"3 DALGETY ST, COTTESLOE",Non Strata,2300000,2018-03-27,N
"19 BURT ST, COTTESLOE",Non Strata,1710000,2011-08-30,N
"2 B DALGETY ST, COTTESLOE",Strata,925000,2014-10-27,N
"4 DALGETY ST, COTTESLOE",Non Strata,265000,1995-01-10,N
"2 DALGETY ST, COTTESLOE",Non Strata,1250000,2008-08-27,N
"511 STIRLING HWY, COTTESLOE",Non Strata,930000,2023-05-02,N
"7 FOULKES LANE, COTTESLOE",Strata,710000,2019-05-30,N
"505 STIRLING HWY, COTTESLOE",Non Strata,350000,2001-11-17,N
"25 BURT ST, COTTESLOE",Strata,1150000,2018-04-17,N
"6 DALGETY ST, COTTESLOE",Non Strata,20,2023-04-12,N
"8 DALGETY ST, COTTESLOE",Non Strata,1450000,2020-09-29,N
"30 BURT ST, COTTESLOE",Strata,385000,2003-10-04,N
"8/3 ROCKETT LANE, COTTESLOE",Strata,810000,2021-03-14,N
"101 NAPIER ST, COTTESLOE",Non Strata,1420000,2013-11-15,N
"103 NAPIER ST, COTTESLOE",Non Strata,2100000,2021-11-15,N
"99 NAPIER ST, COTTESLOE",Vacant,1000000,2020-06-15,N
"97 NAPIER ST, COTTESLOE",Vacant,1090000,2020-06-15,N
"12 DALGETY ST, COTTESLOE",Non Strata,1712500,2019-09-24,N
"14 B DALGETY ST, COTTESLOE",Strata,380000,2002-03-29,N
"91 NAPIER ST, COTTESLOE",Non Strata,3500000,2023-04-29,N
"89 NAPIER ST, COTTESLOE",Non Strata,2100000,2023-04-29,N
"87 NAPIER ST, COTTESLOE",Non Strata,695000,2003-10-10,N
"85 NAPIER ST, COTTESLOE",Non Strata,2200000,2015-11-30,N
"14 BURT ST, COTTESLOE",Non Strata,590000,2001-12-21,N
"16 BURT ST, COTTESLOE",Non Strata,1720000,2021-03-27,N
"20 BURT ST, COTTESLOE",Non Strata,1650000,2010-03-31,N
"10 BURT ST, COTTESLOE",Non Strata,174000,1991-10-31,N
"8 BURT ST, COTTESLOE",Non Strata,575000,1999-12-21,N
"6 BURT ST, COTTESLOE",Non Strata,1350000,2014-07-23,N
"2 BURT ST, COTTESLOE",Strata,1220000,2019-03-09,N
"20 RAILWAY ST, COTTESLOE",Non Strata,690000,2005-03-01,N
"1 A BURT ST, COTTESLOE",Non Strata,1875000,2010-08-30,N
"30 RAILWAY ST, COTTESLOE",Non Strata,185000,1995-03-01,N
"83 NAPIER ST, COTTESLOE",Non Strata,333000,1997-06-06,N
"32 RAILWAY ST, COTTESLOE",Non Strata,116100,2002-11-25,N
"34 RAILWAY ST, COTTESLOE",Non Strata,1310000,2021-04-28,N
"75 NAPIER ST, COTTESLOE",Non Strata,880000,2005-08-21,N
"77 A NAPIER ST, COTTESLOE",Non Strata,712500,2018-10-25,N
"77 NAPIER ST, COTTESLOE",Non Strata,1475000,2020-08-01,N
"79 NAPIER ST, COTTESLOE",Non Strata,681000,2000-10-28,N
"78 B NAPIER ST, COTTESLOE",Non Strata,865000,2005-10-03,N
"40 RAILWAY ST, COTTESLOE",Non Strata,1550000,2016-04-09,N
"78 A NAPIER ST, COTTESLOE",Non Strata,1200000,2009-08-17,N
"78 NAPIER ST, COTTESLOE",Non Strata,330000,1997-04-21,N
"42 RAILWAY ST, COTTESLOE",Non Strata,305000,2001-08-17,N
"44 RAILWAY ST, COTTESLOE",Non Strata,365000,2002-03-02,N
"5 PERTH ST, COTTESLOE",Non Strata,80000,1991-12-18,N
"1 PERTH ST, COTTESLOE",Non Strata,859000,2006-02-19,N
"9 PERTH ST, COTTESLOE",Non Strata,1390000,2020-10-17,Y
"9 A PERTH ST, COTTESLOE",Non Strata,1390000,2020-10-17,Y
"11 PERTH ST, COTTESLOE",Non Strata,1470000,2012-05-02,N
"13 PERTH ST, COTTESLOE",Non Strata,305000,1998-11-14,N
"15 A PERTH ST, COTTESLOE",Non Strata,475000,2001-01-02,N
"15 PERTH ST, COTTESLOE",Non Strata,1150000,2020-06-30,N
"90 NAPIER ST, COTTESLOE",Non Strata,870000,2012-11-28,N
"88 NAPIER ST, COTTESLOE",Non Strata,250000,1989-02-12,Y
"88 NAPIER ST, COTTESLOE",Non Strata,250000,1989-02-12,Y
"88 NAPIER ST, COTTESLOE",Non Strata,400000,2000-03-20,Y
"86 NAPIER ST, COTTESLOE",Non Strata,1480000,2010-03-24,N
"86 A NAPIER ST, COTTESLOE",Non Strata,1700000,2022-09-12,N
"80 NAPIER ST, COTTESLOE",Non Strata,1030000,2007-10-20,N
